,ID,User,Tweets,fav_count,rt_count,tweet_date
25,1259883556131803146,GARY BARBER,"Donald trump needs to stay out of jail and if republicans lose he and his grifter children will do just that, go to jail.  He needs your support to continue his crime spree https://t.co/2opp1eE0fT",0,0,2020-05-11 16:30:21
26,1259883551975227400,SEND MORE TAX PAYER AID TO FOREIGN GAS COMPANIES!,"@realTT2020 @realDonaldTrump Obama is a vindictive narcissist on top of being a sell out and warmongering hypocrite. Oh, Obama is going to close GITMO and stop the Middle East wars ""ANY DAY NOW"".

#ObaMAGAte

https://t.co/9Lyb5ovB9s",0,0,2020-05-11 16:30:20
27,1259883548326146048,Chuck Davis,"...rice-o-ronies. I don't care if businessman Donald Trump conducts business with Chinese financial institutions, I respect the fact that Donald Trump stand his ground as the legitimate 45th President of the United States to tell China to straighten up &amp; fly right. You feel me?",0,0,2020-05-11 16:30:20
28,1259883534056960000,BottleOfSquid,"@realDonaldTrump Trump's family and close aides have the virus and now they want you to have it, too! They're rich. They'll be taken care of. You'll die. You wanna die for Donald Trump!?",0,0,2020-05-11 16:30:16
29,1259883532337311745,Tom,@the_resistor @realDonaldTrump Resistor Sister i have to say you have been doing an excellent job of letting Donald Trump know what time it is and also letting the American people know the truth about this racist loser .. keep up the great work we all appreciate it,0,0,2020-05-11 16:30:16
30,1259883528902279169,Covie,"@glennresists3 You may not have known this but, Jair Bolsonaro is how you say Donald Trump in Portuguese.",0,0,2020-05-11 16:30:15
31,1259883511449780225,Vic Independent,"@realDonaldTrump Something is definitely wrong with Trump.
https://t.co/UTUrvcOLY1",0,0,2020-05-11 16:30:11
32,1259883502033502220,Lily,@mpukita @0045James Donald J Trump is the best POTUS in history! 4 more years!,0,0,2020-05-11 16:30:09
33,1259883500158824448,@holiness #VoteBlueNoMatterWho,"Christians, does supporting Donald Trump make you holy?  https://t.co/dQ2IAnvrh9  #TrumpGate #LincolnProject #MondayMorning",0,0,2020-05-11 16:30:08
34,1259883487156289537,Greatest Minds,"""You have to think anyway, so why not think big?""
~ Donald Trump #leadership #quotes",0,0,2020-05-11 16:30:05
35,1259883485424168961,rabewache,"@realDonaldTrump Donald Trump is culpable in the deaths of thousands of Americans by using the coronavirus pandemic to boost his electoral prospects and line the pockets of big business, Prof Noam Chomsky has said.",0,0,2020-05-11 16:30:05
36,1259883479174529024,DonnaHiggins,Supreme Court battle over Donald Trump's finances carries risks for all three branches https://t.co/rpIiU4rLjE #SmartNews,0,0,2020-05-11 16:30:03
37,1259883473436737537,Pamela bender,Donald Trump Signals ‘Obamagate’ Investigation: ‘He Got Caught’ https://t.co/rI8mswmoGd,0,0,2020-05-11 16:30:02
38,1259883469569654784,CBS 17,"Reflecting on Mother’s Day this weekend, President Donald Trump said Friday that he could do no wrong in his mother’s eyes and perhaps that’s what framed his personality today. https://t.co/xVMtDRySin",0,0,2020-05-11 16:30:01
39,1259883465815715840,News 10,"Some of President Donald Trump's top economic advisers emphasized on Sunday the importance of states getting more businesses and offices open even as the pandemic makes its way to the White House complex.
https://t.co/aR12UWPWsV https://t.co/obfYzpOCUH",0,0,2020-05-11 16:30:00
40,1259883465782161409,PFAW,"President Donald Trump’s political operation is battling efforts to expand #votebymail and his religious-right backers are helping lead the charge. -- via @RightWingWatch

https://t.co/xbQjunCjdT",0,0,2020-05-11 16:30:00
41,1259883464586924040,James Page,"Donald Trump is 'glum' because 80,000 dead Americans is cutting into his own popularity! As always, it's all about him. https://t.co/3prG73Kx9N",0,0,2020-05-11 16:30:00
42,1259883456168726528,Headly Lamar,"@realDonaldTrump @CBS @60Minutes &lt;b&gt;Donald Trump Says He Calls China's Leader 'King' and Xi likes that&lt;/b&gt;
https://t.co/m5nygguKHS",0,0,2020-05-11 16:29:58
43,1259883449000685568,Doyouhaveaflag,"This graph is all you need to see today.
Donald tRUmp and the corrupt Governors from these states below are lying. 

You can't go from FL 35k infected to a flat line by having everyone going to the beach.
Same with Louisiana...
This graph is telling and its horrible. https://t.co/eJKNxIvdBt",1,0,2020-05-11 16:29:56
44,1259883442902306817,bdwatcher❌,Read ALL the Betrayal Papers Links. Only Donald Trump Can Counter the Coup D’état of 2008 https://t.co/gu5p6xospq,0,0,2020-05-11 16:29:54
45,1259883439651721219,Lupriest Flower,Donald Trump has no plan for dealing with the coronavirus  #TrumpGate,0,0,2020-05-11 16:29:54
46,1259883434823966720,J9,"@mdnij34 Zero. To understand, read, 

'The Strange Case of Donald J. Trump, provides coherent, nuanced psychological portrait of DT, drawing upon biographical events in his life &amp; contemporary scientific research &amp; theory in personality, developmental, &amp; social psychology.

Explains a lot",0,0,2020-05-11 16:29:53
